Student Id, Country Code, Enrolled Year, Age, Gender, Experienced, Course code,Engagement Month, Engagement Year, Engagement Type

1,IN,9,2022,29,F,true,JMC,MARCH,2026,Lecture 4
1,IN,9,2022,29,F,true,PYMC,MARCH,2026,Lecture 8
2,CN,9,2026,59,M,false,JMC,MAY,2026,Lecture 5
2,CN,9,2026,59,M,false,PYMC,DECEMBER,2026,Lecture 7
3,US,3,2024,37,F,false,JMC,NOVEMBER,2024,Lecture 7
3,US,3,2024,37,F,false,PYMC,MARCH,2026,Lecture 9
4,IN,12,2016,28,U,false,JMC,AUGUST,2018,Lecture 1
4,IN,12,2016,28,U,false,PYMC,APRIL,2025,Lecture 4
5,AU,5,2017,20,M,false,JMC,JANUARY,2017,Lecture 9
5,AU,5,2017,20,M,false,PYMC,APRIL,2018,Lecture 3
