Student Id, Country Code, Enrolled Year, Age, Gender, Experienced, Course code,Engagement Month, Engagement Year, Engagement Type

1,GB,10,2018,41,M,false,JMC,JANUARY,2023,Lecture 12
1,GB,10,2018,41,M,false,PYMC,AUGUST,2018,Lecture 3
2,IN,1,2024,27,F,true,JMC,MAY,2026,Lecture 13
2,IN,1,2024,27,F,true,PYMC,JANUARY,2024,Lecture 4
3,US,9,2022,40,U,false,JMC,APRIL,2023,Lecture 11
3,US,9,2022,40,U,false,PYMC,OCTOBER,2025,Lecture 10
4,GB,12,2023,63,F,true,JMC,APRIL,2025,Lecture 3
4,GB,12,2023,63,F,true,PYMC,NOVEMBER,2023,Lecture 4
5,IN,9,2023,38,F,true,JMC,JULY,2024,Lecture 5
5,IN,9,2023,38,F,true,PYMC,OCTOBER,2023,Lecture 12
